Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 18:05:35.695,6.496,13.754,0.850,21.101
2026-06-07 18:05:35.799,4.886,14.535,1.358,20.779
2026-06-07 18:05:35.826,4.861,14.201,1.247,20.309
2026-06-07 18:05:35.898,4.911,13.556,0.954,19.421
2026-06-07 18:05:36.008,5.049,13.339,1.741,20.130
2026-06-07 18:05:36.035,4.938,14.053,0.822,19.813
2026-06-07 18:05:36.095,5.025,14.007,1.451,20.483
2026-06-07 18:05:36.198,4.816,14.305,1.397,20.518
2026-06-07 18:05:36.227,6.645,13.854,0.801,21.301
2026-06-07 18:05:36.400,5.415,13.976,2.521,21.912
2026-06-07 18:05:36.436,6.706,15.246,1.888,23.841
2026-06-07 18:05:36.464,4.978,14.467,1.087,20.532
2026-06-07 18:05:36.498,4.997,13.931,2.455,21.384
2026-06-07 18:05:36.527,4.856,13.163,1.395,19.414
2026-06-07 18:05:36.587,5.539,13.356,0.903,19.798
2026-06-07 18:05:36.669,5.029,14.085,1.735,20.849
2026-06-07 18:05:36.696,4.449,13.109,1.348,18.907
2026-06-07 18:05:36.777,5.375,14.431,0.803,20.610
2026-06-07 18:05:36.916,7.156,13.386,1.777,22.319
2026-06-07 18:05:36.945,4.664,13.796,2.040,20.501
2026-06-07 18:05:36.973,4.840,14.420,0.793,20.054
2026-06-07 18:05:37.017,5.109,14.822,1.305,21.236
2026-06-07 18:05:37.119,6.299,14.687,1.687,22.673
2026-06-07 18:05:37.148,4.956,13.362,1.021,19.340
2026-06-07 18:05:37.218,5.067,14.469,1.459,20.995
2026-06-07 18:05:37.318,4.814,13.792,2.196,20.803
2026-06-07 18:05:37.349,4.906,13.890,0.862,19.659
2026-06-07 18:05:37.419,4.788,14.493,1.315,20.597
2026-06-07 18:05:37.520,5.149,14.006,1.577,20.732
2026-06-07 18:05:37.550,4.803,14.568,0.828,20.199
2026-06-07 18:05:37.620,4.709,13.878,1.325,19.913
2026-06-07 18:05:37.721,5.705,13.563,1.590,20.859
2026-06-07 18:05:37.751,5.757,14.387,0.861,21.006
2026-06-07 18:05:37.820,4.917,14.276,1.267,20.461
2026-06-07 18:05:37.922,4.883,13.737,1.520,20.140
2026-06-07 18:05:37.956,6.760,14.288,0.866,21.914
2026-06-07 18:05:38.022,5.414,13.015,1.319,19.749
2026-06-07 18:05:38.126,6.766,13.804,1.566,22.137
2026-06-07 18:05:38.160,6.892,14.140,1.446,22.480
2026-06-07 18:05:38.228,6.088,14.169,1.358,21.615
2026-06-07 18:05:38.339,5.106,13.242,16.785,35.134
2026-06-07 18:05:38.368,5.156,12.976,1.317,19.449
2026-06-07 18:05:38.425,6.038,14.490,1.337,21.865
2026-06-07 18:05:38.525,6.442,13.743,1.078,21.263
2026-06-07 18:05:38.556,5.054,13.742,1.286,20.082
2026-06-07 18:05:38.626,5.219,13.984,1.374,20.576
2026-06-07 18:05:38.729,6.648,14.303,1.112,22.065
2026-06-07 18:05:38.763,6.707,14.502,1.411,22.620
